Current working directory: /home/qusta100
[RandomSearch] Trial 1/20: score=0.0307, best=0.0307
[RandomSearch] Trial 2/20: score=0.0330, best=0.0307
[RandomSearch] Trial 3/20: score=0.0317, best=0.0307
[RandomSearch] Trial 4/20: score=0.0258, best=0.0258
[RandomSearch] Trial 5/20: score=0.0310, best=0.0258
[RandomSearch] Trial 6/20: score=0.0303, best=0.0258
[RandomSearch] Trial 7/20: score=0.0330, best=0.0258
[RandomSearch] Trial 8/20: score=0.0312, best=0.0258
[RandomSearch] Trial 9/20: score=0.0327, best=0.0258
[RandomSearch] Trial 10/20: score=0.0324, best=0.0258
[RandomSearch] Trial 11/20: score=0.0324, best=0.0258
[RandomSearch] Trial 12/20: score=0.0312, best=0.0258
[RandomSearch] Trial 13/20: score=0.0325, best=0.0258
[RandomSearch] Trial 14/20: score=0.0313, best=0.0258
[RandomSearch] Trial 15/20: score=0.0280, best=0.0258
[RandomSearch] Trial 16/20: score=0.0405, best=0.0258
[RandomSearch] Trial 17/20: score=0.0346, best=0.0258
[RandomSearch] Trial 18/20: score=0.0322, best=0.0258
[RandomSearch] Trial 19/20: score=0.0291, best=0.0258
[RandomSearch] Trial 20/20: score=0.0350, best=0.0258
{'lr': 0.0001283581957549038, 'weight_decay': 0.00030401395269679966, 'embed_dim': 32, 'hidden_dim': 64, 'temp_hidden_dim': 64, 'temp_out_per_scale': 16, 'win_hour': 24, 'win_day': 96, 'win_week': 128} 0.025764239292578317
