Current working directory: /home/qusta100
[RandomSearch] Trial 1/20: score=0.0333, best=0.0333
[RandomSearch] Trial 2/20: score=0.0321, best=0.0321
[RandomSearch] Trial 3/20: score=0.0313, best=0.0313
[RandomSearch] Trial 4/20: score=0.0191, best=0.0191
[RandomSearch] Trial 5/20: score=0.0319, best=0.0191
[RandomSearch] Trial 6/20: score=0.0320, best=0.0191
[RandomSearch] Trial 7/20: score=0.0334, best=0.0191
[RandomSearch] Trial 8/20: score=0.0309, best=0.0191
[RandomSearch] Trial 9/20: score=0.0300, best=0.0191
[RandomSearch] Trial 10/20: score=0.0309, best=0.0191
[RandomSearch] Trial 11/20: score=0.0296, best=0.0191
[RandomSearch] Trial 12/20: score=0.0307, best=0.0191
[RandomSearch] Trial 13/20: score=0.0207, best=0.0191
[RandomSearch] Trial 14/20: score=0.0311, best=0.0191
[RandomSearch] Trial 15/20: score=0.0324, best=0.0191
[RandomSearch] Trial 16/20: score=0.0328, best=0.0191
[RandomSearch] Trial 17/20: score=0.0338, best=0.0191
[RandomSearch] Trial 18/20: score=0.0305, best=0.0191
[RandomSearch] Trial 19/20: score=0.0316, best=0.0191
[RandomSearch] Trial 20/20: score=0.0313, best=0.0191
{'lr': 0.0025475372083833005, 'weight_decay': 7.852233350555956e-05, 'embed_dim': 16, 'hidden_dim': 128, 'temp_hidden_dim': 64, 'temp_out_per_scale': 32, 'win_hour': 8, 'win_day': 96, 'win_week': 128, 'cheb_K': 4} 0.01909730670267266
