Current working directory: /home/qusta100
[RandomSearch] Trial 1/20: score=0.0335, best=0.0335
[RandomSearch] Trial 2/20: score=0.0401, best=0.0335
[RandomSearch] Trial 3/20: score=0.0324, best=0.0324
[RandomSearch] Trial 4/20: score=0.0325, best=0.0324
[RandomSearch] Trial 5/20: score=0.0353, best=0.0324
[RandomSearch] Trial 6/20: score=0.0325, best=0.0324
[RandomSearch] Trial 7/20: score=0.0269, best=0.0269
[RandomSearch] Trial 8/20: score=0.0359, best=0.0269
[RandomSearch] Trial 9/20: score=0.0307, best=0.0269
[RandomSearch] Trial 10/20: score=0.0326, best=0.0269
[RandomSearch] Trial 11/20: score=0.0320, best=0.0269
[RandomSearch] Trial 12/20: score=0.0267, best=0.0267
[RandomSearch] Trial 13/20: score=0.0327, best=0.0267
[RandomSearch] Trial 14/20: score=0.0317, best=0.0267
[RandomSearch] Trial 15/20: score=0.0314, best=0.0267
[RandomSearch] Trial 16/20: score=0.0308, best=0.0267
[RandomSearch] Trial 17/20: score=0.0323, best=0.0267
[RandomSearch] Trial 18/20: score=0.0334, best=0.0267
[RandomSearch] Trial 19/20: score=0.0344, best=0.0267
[RandomSearch] Trial 20/20: score=0.0310, best=0.0267
{'lr': 0.0012798652166236125, 'weight_decay': 2.3809338343207582e-05, 'embed_dim': 32, 'hidden_dim': 128, 'temp_hidden_dim': 32, 'temp_out_per_scale_week': 16, 'temp_out_per_scale_day': 16, 'win_hour': 4, 'win_day': 96, 'win_week': 672, 'cheb_K': 2, 'length_encoder': 16} 0.026650941332995812
